disease,ayurvedic_herbs,formulation,duration_of_treatment,diet_and_lifestyle_recommendations,yoga__physical_therapy,environmental_factors,patient_recommendations
Costello Syndrome,"Ashwagandha, Brahmi","Shatavari (10ml), Warm water (200ml)",Lifelong,Provide nutrient-dense meals; avoid heavy physical strain.,"Gentle Stretching, Strengthening Exercises","Genetic mutation, Developmental delay","Regular Monitoring, Genetic Counseling"
Cough,"Tulsi, Licorice","Ginger (2g), Honey (1 tsp)",1-2 weeks,Avoid cold drinks; inhale steam with eucalyptus oil.,"Breathing Exercises, Chest Therapy","Exposure to allergens, Airborne viruses","Rest, Hydration, Avoid Irritants"
Crigler-Najjar Syndrome,"Neem, Amla","Kutki (2g), Giloy (2g), Warm water (200ml)",Lifelong,"Avoid fatty foods; provide small, frequent meals.",None specific,"Genetic mutation, Liver dysfunction","Regular Monitoring, Phototherapy"
Crimean-Congo Hemorrhagic Fever,None specific,"Tulsi (5g), Giloy (3g), Warm water (200ml)",2-4 weeks,Avoid crowded places; practice proper hygiene and rest.,None specific,"Exposure to infected ticks, Rural areas","Protective Measures, Early Detection"
Crohn's Disease,"Turmeric, Triphala","Aloe vera (10ml), Warm water (200ml)",Lifelong,Avoid spicy foods; include probiotics and fiber-rich foods.,"Yoga for Digestive Health, Stress Reduction","Stress, Poor diet, Genetic factors","Regular Monitoring, Diet Management"
Cryptosporidiosis,None specific,"Neem leaves (5g), Warm water (200ml)",1-2 weeks,Maintain hygiene; avoid contaminated water and food.,None specific,"Contaminated water, Poor hygiene","Drink Clean Water, Avoid Contaminated Food"
Cushing's Syndrome,"Ashwagandha, Triphala","Ashwagandha (5g), Warm water (200ml)",Lifelong,Avoid processed foods; include leafy greens and exercise regularly.,"Stress Management, Yoga for Balance","High-stress environment, Obesity","Regular Monitoring, Medication"
Cystic Fibrosis,"Ashwagandha, Guduchi","Mulethi (3g), Giloy (2g), Warm water (200ml)",Lifelong,Stay hydrated; include antioxidant-rich foods and breathing exercises.,"Chest Exercises, Breathing Techniques","Air pollution, Respiratory infections","Regular Chest Physiotherapy, Nutrition Management"
Cysticercosis,None specific,"Neem (2g), Garlic (2g)",6 months to lifelong,Avoid contaminated foods; practice proper hygiene.,None specific,"Contaminated food or water, Poor hygiene","Avoid Contaminated Food, Medication"
Cystinosis,"Amla, Ashwagandha","Punarnava (3g), Warm water (200ml)",Lifelong,Stay hydrated; include low-sodium meals and avoid heavy foods.,None specific,"Genetic mutation, Kidney dysfunction","Regular Monitoring, Kidney Care"
Dandruff,"Neem, Aloe Vera",Neem oil (as needed),2-4 weeks,Avoid oily and processed foods; keep the scalp clean and dry.,"Scalp Massage, Stress Reduction","Dry environment, Poor hygiene","Regular Scalp Care, Hydration"
Dementia,"Brahmi, Ashwagandha","Brahmi (2g), Warm water (200ml)",Lifelong,Provide a balanced diet; include brain-boosting foods like nuts and seeds.,"Cognitive Therapy, Memory Training","Age, Genetic factors, Poor mental health","Cognitive Stimulation, Social Engagement"
Dengue Fever,None specific,"Papaya leaves (10ml), Warm water (200ml)",1-2 weeks,Stay hydrated; include coconut water and rest adequately.,"Rest, Hydration","Mosquito exposure, High rainfall","Hydration, Rest, Mosquito Control"
Dengue Hemorrhagic Fever,None specific,"Giloy (3g), Papaya leaves (10ml), Warm water (200ml)",2-4 weeks,Avoid strenuous activities; consume light meals and herbal teas.,None specific,"Mosquito exposure, High rainfall","Regular Monitoring, Hydration"
Dentinogenesis Imperfecta,None specific,"Licorice root (2g), Water (as needed)",Lifelong,Include calcium-rich foods; avoid sugary and acidic foods.,None specific,"Genetic mutation, Poor oral hygiene",Regular Dental Checkups
Depression,"Ashwagandha, Brahmi","Ashwagandha (5g), Warm water (200ml)",6 months to lifelong,Avoid alcohol and caffeine; practice mindfulness and yoga.,"Yoga for Mental Health, Breathing","High stress, Lack of social support","Therapy, Social Support"
Desbuquois Dysplasia,"Ashwagandha, Guggulu","Shatavari (10ml), Warm water (200ml)",Lifelong,"Include nutrient-dense foods; avoid heavy, processed foods.",None specific,Genetic mutation,"Regular Monitoring, Supportive Care"
Diabetes,"Bitter Melon, Fenugreek",Fenugreek (3g daily),Lifelong,Avoid sugary foods; include bitter gourd and neem in the diet.,Yoga for Blood Sugar Control,"High sugar intake, Lack of exercise","Regular Monitoring, Healthy Lifestyle"
Diabetes Mellitus Type 1 and Type 2,"Bitter Melon, Gymnema Sylvestre","Bitter gourd (50ml), Water (200ml)",Lifelong,Avoid refined sugars; include high-fiber foods and exercise regularly.,Yoga for Blood Sugar Control,"High sugar intake, Lack of exercise","Regular Monitoring, Healthy Lifestyle"
Digestive Disorders,"Triphala, Ginger","Ajwain (1 tsp), Warm water (200ml)",2-4 weeks to lifelong,"Avoid fried and greasy foods; eat small, frequent meals.",Yoga for Digestive Health,"Poor diet, Stress","Healthy Diet, Stress Management"
Dihydropyrimidine Dehydrogenase Deficiency,None specific,"Brahmi (2g), Warm water (200ml)",Lifelong,Avoid stress; drink herbal teas like chamomile.,None specific,"Genetic mutation, Metabolic imbalance","Regular Monitoring, Vitamin Supplements"
Diphtheria,None specific,"Turmeric (1/2 tsp), Milk (200ml)",2-4 weeks,Avoid cold foods; drink warm herbal teas and soups.,None specific,Exposure to infected individuals,"Regular Vaccination, Hygiene"
Down Syndrome,"Brahmi, Ashwagandha","Brahmi (2g), Warm water (200ml)",Lifelong,"Provide a balanced, nutrient-dense diet; include sensory stimulation.","Gentle Physical Therapy, Stretching",Genetic mutation,"Regular Monitoring, Early Intervention"
Dracunculiasis,None specific,"Neem leaves (5-6), Water (as needed)",1-2 months,Maintain proper hygiene; avoid contaminated water.,None specific,"Contaminated water, Poor hygiene","Safe Water, Hygiene Practices"
Duchenne Muscular Dystrophy,"Ashwagandha, Guggulu","Shatavari (10ml), Ashwagandha (5g), Warm water",Lifelong,Include protein-rich foods; avoid excessive physical exertion.,"Strengthening Exercises, Stretching","Genetic mutation, Muscle weakness","Regular Monitoring, Physical Therapy"
Dyggve-Melchior-Clausen Syndrome,None specific,"Shatavari (10ml), Warm water (200ml)",Lifelong,"Avoid cold foods; provide a balanced, nutritious diet.",None specific,"Genetic mutation, Physical deformities","Regular Monitoring, Supportive Care"
Ebola,None specific,"Giloy (3g), Neem (2g), Warm water (200ml)",2-4 weeks,Avoid direct contact with infected individuals; practice hygiene.,None specific,Exposure to infected individuals,"Protective Measures, Early Detection"
Ebola Virus,None specific,"Tulsi (3g), Giloy (2g), Warm water (200ml)",2-4 weeks,Practice good hygiene; avoid direct contact with infected individuals.,None specific,Exposure to infected individuals,"Protective Measures, Early Detection"
Echinococcosis,"Neem, Amla","Triphala (1 tsp), Warm water (200ml)",3-6 months,Avoid raw meat; include fiber-rich foods in the diet.,None specific,"Contaminated water, Poor sanitation","Avoid Contaminated Food, Regular Checkups"
Eczema (Atopic Dermatitis),"Neem, Aloe Vera",Fresh Aloe vera gel (apply as needed),2-4 weeks to lifelong,Avoid allergens; apply moisturizing creams and use mild soaps.,"Skin Care, Stress Reduction","Allergens, Irritants, Climate changes","Regular Skin Care, Avoid Irritants"
Emphysema,None specific,"Mulethi (3g), Tulsi (2g), Warm water (200ml)",Lifelong,Avoid smoking; perform breathing exercises and consume light meals.,"Breathing Exercises, Physical Therapy","Smoking, Air pollution","Regular Monitoring, Quit Smoking"
Endometriosis,"Ashwagandha, Shatavari","Ashwagandha (5g), Warm milk (200ml)",Lifelong,Avoid spicy foods; include anti-inflammatory foods like turmeric.,"Yoga for Pelvic Health, Relaxation","Hormonal changes, Stress","Pain Management, Stress Reduction"
Enterobiasis,None specific,"Garlic (2 cloves), Ginger (1g), Warm water (200ml)",1-2 weeks,Maintain hygiene; avoid sugary foods and consume fiber-rich meals.,None specific,"Contaminated food, Poor hygiene","Good Hygiene, Clean Environment"
Epilepsy,"Brahmi, Ashwagandha","Brahmi (2g), Warm water (200ml)",Lifelong,Avoid excessive screen time; practice mindfulness and yoga.,"Relaxation, Mindfulness","Family history, Triggers like stress","Regular Monitoring, Medication"
Fascioliasis,None specific,"Kutki (3g), Warm water (200ml)",1-3 months,Avoid raw water or food; consume light meals and stay hydrated.,None specific,"Contaminated water, Poor sanitation","Safe Food, Regular Monitoring"
Fever,"Turmeric, Ginger","Tulsi (5g), Warm water (200ml)",3-5 days,Stay hydrated; include cooling foods like coconut water and fruits.,"Rest, Hydration, Breathing Exercises","Infections, Seasonal changes","Rest, Hydration"
Fibromyalgia,"Ashwagandha, Guggulu","Ashwagandha (5g), Warm water (200ml)",Lifelong,Include anti-inflammatory foods like turmeric; avoid stress.,"Yoga for Relaxation, Stretching","Stress, Cold, Overexertion","Regular Exercise, Stress Management"
Filariasis,None specific,"Neem leaves (5-6), Water (as needed)",1-2 months,Avoid stagnant water; maintain proper hygiene.,None specific,"Poor sanitation, Mosquito-prone areas","Avoid Mosquito Bites, Clean Environment"
Fragile X Syndrome,None specific,"Brahmi (2g), Warm water (200ml)",Lifelong,Provide a balanced diet with omega-3 fatty acids; avoid processed foods.,None specific,"Genetic, Family history","Early Intervention, Supportive Care"
Gallstones,None specific,"Triphala (1 tsp), Warm water (200ml)",1-3 weeks,Avoid fatty and fried foods; include fiber-rich foods and drink plenty of water.,None specific,"Fatty diet, Obesity","Healthy Diet, Regular Checkups"
Gastroesophageal Reflux Disease (GERD),"Triphala, Guduchi","Ginger (2g), Tulsi (5g), Warm water (200ml)",2-4 weeks,"Avoid spicy and acidic foods; consume smaller, frequent meals.","Yoga for Digestion, Stress Management","Spicy foods, Alcohol, Stress","Avoid Trigger Foods, Healthy Lifestyle"
Giardiasis,None specific,"Neem leaves (5g), Turmeric (1/2 tsp), Warm water (200ml)",2-4 weeks,Avoid untreated water; drink herbal teas and eat light meals.,None specific,"Contaminated water, Poor sanitation","Safe Water, Good Hygiene Practices"
Glomerulonephritis,None specific,"Punarnava (3g), Warm water (200ml)",3-6 months,Avoid salty foods; drink plenty of water and follow low-protein diet.,None specific,"Infections, Poor hygiene","Regular Monitoring, Healthy Lifestyle"
Gout,None specific,"Ginger (2g), Turmeric (1/2 tsp), Warm water (200ml)",1-2 weeks,Avoid purine-rich foods (like red meat); consume more fruits and vegetables.,"Stretching, Joint Mobility Exercises","High purine foods, Alcohol","Avoid Trigger Foods, Regular Checkups"
Graves Disease,"Ashwagandha, Brahmi","Ashwagandha (5g), Warm water (200ml)",Lifelong,Avoid stimulating foods like caffeine; practice stress reduction.,"Yoga for Thyroid Health, Relaxation","Autoimmune triggers, Stress","Regular Monitoring, Medication"
Guillain-Barre Syndrome,None specific,"Ashwagandha (5g), Warm water (200ml)",1-3 months,Include light exercises; avoid cold or damp environments.,"Physical Therapy, Stretching","Viral infections, Autoimmune triggers","Early Intervention, Supportive Care"
Guinea Worm Disease,None specific,"Neem leaves (5-6), Water (as needed)",3-6 months,Maintain hygiene; avoid drinking contaminated water.,None specific,"Contaminated water, Poor sanitation","Safe Water, Hygiene Practices"
HIV/AIDS,None specific,"Guduchi (3g), Warm water (200ml)",Lifelong,Follow a balanced diet rich in vitamins; avoid exposure to infections.,None specific,"Unsafe sexual practices, Needle sharing","Safe Practices, Regular Monitoring"
Hair Loss,"Bhringraj, Amla","Amla (3g), Brahmi (2g), Olive oil (5ml)",Varies,Maintain scalp hygiene; avoid stress and use herbal oils for massage.,"Scalp Massage, Stress Reduction","Stress, Hormonal imbalance","Stress Management, Healthy Diet"
